,EndDate,ID,Language,LegislativePeriodAbbreviation,LegislativePeriodName,LegislativePeriodNumber,Modified,StartDate
0,2007-11-30T00:00:00,47,DE,Legi. 47,47. Legislatur,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
1,2007-11-30T00:00:00,47,EN,légi. 47,47e législature,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
2,2007-11-30T00:00:00,47,FR,légi. 47,47e législature,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
3,2007-11-30T00:00:00,47,IT,legi. 47,47a legislatura,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
4,2007-11-30T00:00:00,47,RM,Legi. 47,47. Legislatur,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
