,Abbreviation,EndDate,ID,Language,LegislativePeriodNumber,Modified,SessionName,SessionNumber,StartDate,Title,Type,TypeName
60,HS10,2010-10-01T00:00:00,4815,FR,48,2011-03-18T17:02:07.7,Session d'automne 2010,15,2010-09-13T00:00:00,III/2010,2,Sessions ordinaires  (durée 3 semaines)
61,FS97,1997-03-21T00:00:00,4506,FR,45,2013-07-25T08:46:10.447,Session de printemps 1997,6,1997-03-03T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
62,SJ98,1998-01-23T00:00:00,4511,FR,45,2013-07-25T09:18:43.98,Session spéciale janvier 1998,11,1998-01-19T00:00:00,,3,Session spéciale (durée 1 semaine)
63,JAN95,1995-02-03T00:00:00,4417,FR,44,2013-07-25T09:14:14.937,Session spéciale janvier 1995,17,1995-01-23T00:00:00,,3,Session spéciale (durée 1 semaine)
64,FR94,1994-03-18T00:00:00,4413,FR,44,2013-07-25T08:48:42.633,Session de printemps 1994,13,1994-02-28T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
65,avril 97,1997-04-30T00:00:00,4507,FR,45,2013-07-25T09:18:43.98,Session spéciale avril 1997,7,1997-04-28T00:00:00,,3,Session spéciale (durée 1 semaine)
66,HS07,2007-10-05T00:00:00,4718,FR,47,2011-03-18T17:02:07.71,Session d'automne 2007,18,2007-09-17T00:00:00,III/2007,2,Sessions ordinaires  (durée 3 semaines)
67,AP93,1993-04-30T00:00:00,4409,FR,44,2013-07-25T09:14:14.937,Session spéciale avril 1993,9,1993-04-26T00:00:00,,3,Session spéciale (durée 1 semaine)
68,SoMai03,2003-05-08T00:00:00,4618,FR,46,2011-03-18T17:02:07.71,Session spéciale mai 2003,18,2003-05-05T00:00:00,II/2003,3,Session spéciale (durée 1 semaine)
69,SoSe08,2008-06-13T00:00:00,4804,FR,48,2011-03-18T17:02:07.713,Session d'été 2008,4,2008-05-26T00:00:00,II/2008,2,Sessions ordinaires  (durée 3 semaines)
70,SoSe11,2011-06-17T00:00:00,4819,FR,48,2011-06-28T14:09:01.73,Session d'été 2011,19,2011-05-30T00:00:00,II/2011,2,Sessions ordinaires  (durée 3 semaines)
71,SonderApril11,2011-04-14T00:00:00,4818,FR,48,2011-06-28T14:08:08.27,Session spéciale avril 2011,18,2011-04-11T00:00:00,II/2011,3,Session spéciale (durée 1 semaine)
72,HS11,2011-09-30T00:00:00,4820,FR,48,2011-07-07T08:38:01.987,Session d'automne 2011,20,2011-09-12T00:00:00,III/2011,2,Sessions ordinaires  (durée 3 semaines)
73,WS11,2011-12-23T00:00:00,4901,FR,49,2011-09-26T14:45:49.99,Session d'hiver 2011,1,2011-12-05T00:00:00,IV/2011,2,Sessions ordinaires  (durée 3 semaines)
74,FS12,2012-03-16T00:00:00,4902,FR,49,2012-02-21T10:40:41.657,Session de printemps 2012,2,2012-02-27T00:00:00,I/2012,2,Sessions ordinaires  (durée 3 semaines)
75,SonderMai12,2012-05-03T00:00:00,4903,FR,49,2012-02-21T11:02:37.45,Session spéciale mai 2012,3,2012-05-02T00:00:00,II/2012,3,Session spéciale (durée 1 semaine)
76,SoSe12,2012-06-15T00:00:00,4904,FR,49,2012-06-19T07:59:21.543,Session d'été 2012,4,2012-05-29T00:00:00,II/2012,2,Sessions ordinaires  (durée 3 semaines)
77,HS12,2012-09-28T00:00:00,4905,FR,49,2012-06-08T09:02:18.747,Session d'automne 2012,5,2012-09-10T00:00:00,III/2012,2,Sessions ordinaires  (durée 3 semaines)
78,WS12,2012-12-14T00:00:00,4906,FR,49,2012-08-27T15:37:32.263,Session d'hiver 2012,6,2012-11-26T00:00:00,IV/2012,2,Sessions ordinaires  (durée 3 semaines)
79,FS13,2013-03-22T00:00:00,4907,FR,49,2012-08-27T15:39:11.07,Session de printemps 2013,7,2013-03-04T00:00:00,I/2013,2,Sessions ordinaires  (durée 3 semaines)
80,SoSe13,2013-06-21T00:00:00,4909,FR,49,2013-01-17T09:25:44.24,Session d'été 2013,9,2013-06-03T00:00:00,II/2013,2,Sessions ordinaires  (durée 3 semaines)
81,HS13,2013-09-27T00:00:00,4910,FR,49,2013-01-17T09:25:36.943,Session d'automne 2013,10,2013-09-09T00:00:00,III/2013,2,Sessions ordinaires  (durée 3 semaines)
82,WS13,2013-12-13T00:00:00,4911,FR,49,2013-01-17T09:25:27.123,Session d'hiver 2013,11,2013-11-25T00:00:00,IV/2013,2,Sessions ordinaires  (durée 3 semaines)
83,HE91,1991-10-04T00:00:00,4320,FR,43,2013-07-25T08:53:51.7,Session d'automne 1991,20,1991-09-16T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
84,SonderApril,2013-04-17T00:00:00,4908,FR,49,2013-01-17T09:25:52.163,Session spéciale avril 2013,8,2013-04-15T00:00:00,II/2013,3,Session spéciale (durée 1 semaine)
85,FS14,2014-03-21T00:00:00,4912,FR,49,2013-05-24T14:07:51.467,Session de printemps 2014,12,2014-03-03T00:00:00,I/2014,2,Sessions ordinaires  (durée 3 semaines)
86,Mai14,2014-05-08T00:00:00,4913,FR,49,2014-02-14T18:35:20.43,Session spéciale mai 2014,13,2014-05-05T00:00:00,II/2014,3,Session spéciale (durée 1 semaine)
87,SoSe14,2014-06-20T00:00:00,4914,FR,49,2013-05-24T14:10:08.337,Session d'été 2014,14,2014-06-02T00:00:00,II/2014,2,Sessions ordinaires  (durée 3 semaines)
88,HS14,2014-09-26T00:00:00,4915,FR,49,2013-05-24T14:11:08.86,Session d'automne 2014,15,2014-09-08T00:00:00,III/2014,2,Sessions ordinaires  (durée 3 semaines)
